Rank,Wallet,Owner,Balance,XRP Locked,Percentage
1,rB3WNZc45gxzW31zxfXdkx8HusAhoqscPn,Ripple (11),232 XRP,"5,000,000,000 XRP","5.001
%"
2,r9UUEXn3cx2seufBkDa8F86usfjWM6HiYp,Ripple (10),220 XRP,"5,000,000,000 XRP","5.001
%"
3,rMhkqz3DeU7GUUJKGZofusbrTwZe6bDyb1,Ripple (28),206 XRP,"5,000,000,000 XRP","5.001
%"
4,r9NpyVfLfUG8hatuCCHKzosyDtKnBdsEN3,Ripple (9),204 XRP,"5,000,000,000 XRP","5.001
%"
5,rGKHDyj4L6pc7DzRB6LWCR4YfZfzXj2Bdh,Ripple (26),201 XRP,"5,000,000,000 XRP","5.001
%"
6,rHGfmgv54kpc3QCZGRXEQKUhLPndbasbQr,Ripple (27),200 XRP,"5,000,000,000 XRP","5.001
%"
7,rKDvgGUsNPZxsgmoemfrgXPS2Not4co2op,Ripple (13),201 XRP,"4,000,000,000 XRP","4.001
%"
8,rDdXiA3M4mYTQ4cFpWkVXfc2UaAXCFWeCK,Ripple (12),216 XRP,"3,730,000,000 XRP","3.731
%"
9,rsX8cp4aj9grKVD9V1K2ouUBXgYsjgUtBL,Uphold (8),"1,850,364,530 XRP",,"1.851
%"
10,rPyCQm8E5j78PDbrfKF24fRC7qUAk1kDMZ,Bithumb (12),"1,446,183,801 XRP",,"1.446
%"
11,rMQ98K56yXJbDGv49ZSmW51sLn94Xe1mu1,Ripple (29),"1,330,027,088 XRP",,"1.330
%"
12,rKveEyR1SrkWbJX214xcfH43ZsoGMb3PEv,Ripple (39),"1,195,544,084 XRP",,"1.196
%"
13,rs8ZPbYqgecRcDzQpJYAMhSxSi5htsjnza,Binance (5),"1,176,772,050 XRP",,"1.177
%"
14,rw2hzLZgiQ9q62KCuaTWuFHWfiX7JWg3wY,Ripple (24),"500,000,258 XRP","500,000,000 XRP","1.000
%"
15,rDqGA2GfveHypDguQ1KXrJzYymFZmKxEsF,Ripple (25),"500,000,200 XRP","500,000,000 XRP","1.000
%"
16,rDxJNbV23mu9xsWoQHoBqZQvc77YcbJXwb,UPbit (22),"883,124,776 XRP",,"0.883
%"
17,rPz2qA93PeRCyHyFCqyNggnyycJR1N4iNf,Binance (13),"810,060,398 XRP",,"0.810
%"
18,rJ9Ey7HbscSECamgDRzvw5wrVbFUgaUDt7,,"713,000,011 XRP",,"0.713
%"
19,r99QSej32nAcjQAri65vE5ZXjw6xpUQ2Eh,Coincheck (3),"615,266,977 XRP",,"0.615
%"
20,rw7m3CtVHwGSdhFjV4MyJozmZJv3DYQnsA,bitbank (2),"584,256,661 XRP",500 XRP,"0.584
%"
21,rUeDDFNp2q7Ymvyv75hFGC8DAcygVyJbNF,Kraken (2),"558,410,408 XRP",,"0.558
%"
22,rEvwSpejhGTbdAXbxRTpGAzPBQkBRZxN5s,eToro (4),"514,976,751 XRP",,"0.515
%"
23,rsjFB8mPWqiZgPUaVh8XYqdfa59PE2d5LG,Ripple (23),201 XRP,"500,000,000 XRP","0.500
%"
24,rp6aTJmW3nq1aKt3Jmuz4DPRxksT5PBjpH,Ripple (22),200 XRP,"500,000,000 XRP","0.500
%"
25,rfL1mn4VTCoHdhHhHMwqpShCFUaDBRk6Z5,UPbit (12),"500,000,113 XRP",,"0.500
%"
26,rwa7YXssGVAL9yPKw6QJtCen2UqZbRQqpM,UPbit (13),"500,000,111 XRP",,"0.500
%"
27,rNcAdhSLXBrJ3aZUq22HaNtNEPpB5fR8Ri,UPbit (14),"500,000,071 XRP",,"0.500
%"
28,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,UPbit (21),"500,000,024 XRP",,"0.500
%"
29,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,UPbit (19),"500,000,023 XRP",,"0.500
%"
30,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,UPbit (20),"500,000,023 XRP",,"0.500
%"
31,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,UPbit (18),"500,000,023 XRP",,"0.500
%"
32,rJWbw1u3oDDRcYLFqiWFjhGWRKVcBAWdgp,UPbit (17),"500,000,023 XRP",,"0.500
%"
33,rMNUAfSz2spLEbaBwPnGtxTzZCajJifnzH,UPbit (16),"500,000,023 XRP",,"0.500
%"
34,r38a3PtqW3M7LRESgaR4dyHjg3AxAmiZCt,UPbit (15),"500,000,023 XRP",,"0.500
%"
35,rDfrrrBJZshSQDvfT2kmL9oUBdish52unH,chrislarsen (4),"500,000,001 XRP",,"0.500
%"
36,rD6tdgGHG7hwGTA6P39aE7W89fbqxXRjzk,chrislarsen (3),"500,000,001 XRP",,"0.500
%"
37,r476293LUcDqtjiSGJ5Dh44J1xBCDWeX3,chrislarsen (1),"500,000,000 XRP",,"0.500
%"
38,r44CNwMWyJf4MEA1eHVMLPTkZ1LSv4Bzrv,chrislarsen (2),"500,000,000 XRP",,"0.500
%"
39,rBntsdo3fAS5sb3pqe7LvvxTS8qngFYAe1,,"488,113,193 XRP",,"0.488
%"
40,rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,chrislarsen (5),"419,999,990 XRP",,"0.420
%"
41,rB1kVfLSxpXCw7sLCBcm5LFZYzkS6xmwSK,,"407,399,407 XRP",,"0.407
%"
42,rKUhycGCu19u3GahFVSCqP5fBfCEzSoQbF,,"394,423,920 XRP",,"0.394
%"
43,raFi32MjMmYehvVL3h7aW9pXZFcYJWV5eB,,"385,200,679 XRP",,"0.385
%"
44,rpPcmcGQ5iTXDc5zF5owxwTifkTs1qYrA6,,"382,162,270 XRP",,"0.382
%"
45,raQxZLtqurEXvH5sgijrif7yXMNwvFRkJN,Bybit (6),"327,378,588 XRP",,"0.327
%"
46,rJpj1Mv21gJzsbsVnkp1U4nqchZbmZ9pM5,Binance (XRP-BF2 Reserve),"325,800,010 XRP",,"0.326
%"
47,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,SBI VC Trade (4),"313,572,128 XRP",,"0.314
%"
48,rPoJNiCk7XSFLR28nH2hAbkYqjtMC3hK2k,chrislarsen (6),"300,188,448 XRP",,"0.300
%"
49,rKNwXQh9GMjaU8uTqKLECsqyib47g5dMvo,Crypto.com (4),"290,859,395 XRP","83,000 XRP","0.291
%"
50,rDKw32dPXHfoeGoD3kVtm76ia1WbxYtU7D,Coinone (5),"280,329,979 XRP",,"0.280
%"
51,rP4X2hTa7A7udDbE6wczXvPz7XZ63sKxv3,,"263,533,033 XRP",,"0.264
%"
52,rP3mUZyCDzZkTSd1VHoBbFt8HGm8fyq8qV,Binance (17),"257,281,647 XRP",,"0.257
%"
53,rBB8peCvJcSbkmuQSe6ct6cujqNzz465cB,,"250,527,537 XRP",,"0.251
%"
54,rstryhbE73v18SnJ3R8j1FSNYFWCSdELEd,,"240,426,863 XRP",,"0.240
%"
55,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,OKX,"230,801,087 XRP",250 XRP,"0.231
%"
56,rH5wodHpZzeXBAWE36nMoRXGqeEjSdbzWU,,"218,802,633 XRP",,"0.219
%"
57,rLD5k36bJkNk1HkYSSCJwM4jBXChHjRViQ,,"214,660,172 XRP",,"0.215
%"
58,rprAu33H7PLUc24EYiMcD3HKcZG18PFkzQ,,"212,132,922 XRP",,"0.212
%"
59,rPh2BtTsJWsVLKUtp5RY6J9fTFekDgoQHN,,"210,669,138 XRP",,"0.211
%"
60,rwBS6P88HnmTGkRgms78uM51LQL9p6Fcyb,Ripple (48),"200,000,035 XRP",,"0.200
%"
61,rE5Ekd2hTy62WNbCfpsN9DEC4bd8utr5Cx,Ripple (46),"200,000,025 XRP",,"0.200
%"
62,rpynXLU7rAHtdKmdwgiVqLSfz9xwDvK4hy,Ripple (47),"200,000,025 XRP",,"0.200
%"
63,rBZz5VCEXpYzvhN8jWCC2Sb2QVDzsM5WKs,Ripple (49),"200,000,025 XRP",,"0.200
%"
64,rG2eEaeiJou6cVQ3KtX7XMNwGhuW99xmHP,ahbritto (12),"200,000,000 XRP",,"0.200
%"
65,ragKXjY7cBTXUus32sYHZVfkY46Nt2Q829,ahbritto (4),"200,000,000 XRP",,"0.200
%"
66,rsF9cc6gniHLTR2Jng29ng21ez7L9PpmPt,ahbritto (5),"200,000,000 XRP",,"0.200
%"
67,rJ5EJYsW6Vkeruj1LAmQYq3VP7QUQKBH1W,ahbritto (6),"200,000,000 XRP",,"0.200
%"
68,rsXNUCJkXeyFuGHyfRnuWPita2ns32upBD,ahbritto (3),"200,000,000 XRP",,"0.200
%"
69,rQKZSMgmBJvv3FvWj1vuGjUXnegTqJc25z,ahbritto (2),"199,999,950 XRP",,"0.200
%"
70,rhtufNsYfrozs4GvSq4HMYcR9y3dg8FWdC,Ripple (52),"195,000,080 XRP",,"0.195
%"
71,rP8GfS4Ku43STM9kHEoKeWVvhV1E525zfo,,"180,107,804 XRP",,"0.180
%"
72,rhWVCsCXrkwTeLBg6DyDr7abDaHz3zAKmn,bitFlyer (4),"178,454,674 XRP",,"0.178
%"
73,r4AUYDBeV8YaLDZwuXG28CQgZ8XrThy8F2,,"177,965,025 XRP",,"0.178
%"
74,rBEc94rUFfLfTDwwGN7rQGBHc883c2QHhx,Uphold (4),"160,565,973 XRP",,"0.161
%"
75,rfT19bmhihA4dc9YwRmmS3bHtN8eNee1EG,,"152,770,178 XRP",,"0.153
%"
76,rBxszqhQkhPALtkSpGuVeqR6hNtZ8xTH3T,KuCoin (7),"145,768,080 XRP",,"0.146
%"
77,rnuDDzvYWTPqXTDVvwE9oLGLgxzV7Rpnpe,,"145,200,053 XRP",,"0.145
%"
78,raBQUYdAhnnojJQ6Xi3eXztZ74ot24RDq1,Gemini (1),"137,931,381 XRP",150 XRP,"0.138
%"
79,rQUUAjDPTLWTEHrpNtQvryUdvd1afc6TcB,,"134,006,572 XRP",,"0.134
%"
80,rhDTe4SW6Tg4g3uWy66xJUuitsNYaRGgHZ,,"127,942,119 XRP",,"0.128
%"
81,rEbXa31msPbPDZgmLMKH7CaKaf7VipoLBo,,"126,392,005 XRP",,"0.126
%"
82,rLUrobvcPHmbRVgzgGA6Vsp7Eu7yBQpEQe,,"125,981,946 XRP",,"0.126
%"
